Emp ID,First Name,Last Name,Email,Phone,City,Profile,B'day,All formalities over,Joining date,Salary (INR per month)
109,Daniel,Faviet,dfaviet@gmail.com,515.124.4169,Ahemdabad,Design,9/14/1998,Yes,16-Aug-02,90000
110,John,Chen,jchen@gmail.com,515.124.4269,Ahemdabad,HR,9/15/1998,Yes,28-Sep-05,82000
130,Mozhe,Atkinson,matkinso@gmail.com,650.124.6234,Ahemdabad,Design,10/5/1998,Yes,30-Oct-05,28000
131,James,Marlow,jamrlow@gmail.com,650.124.7234,Ahemdabad,HR,10/6/1998,No,16-Feb-05,33000
132,TJ,Olson,tjolson@gmail.com,650.124.8234,Ahemdabad,Accounting,10/7/1995,Yes,10-Apr-07,21000
133,Jason,Mallin,jmallin@gmail.com,650.127.1934,Ahemdabad,Accounting,10/8/1995,No,14-Jun-04,33000
134,Michael,Rogers,mrogers@gmail.com,650.127.1834,Ahemdabad,Web developer,10/9/1995,No,26-Aug-06,29000
105,David,Austin,daustin@gmail.com,590.423.4569,Delhi,Design,9/10/2000,No,25-Jun-05,48000
106,Valli,Pataballa,vpatabal@gmail.com,590.423.4560,Delhi,HR,9/11/1998,Yes,05-Feb-06,48000
107,Diana,Lorentz,dlorentz@gmail.com,590.423.5567,Delhi,Accounting,9/12/1998,No,07-Feb-07,42000
108,Nancy,Greenberg,ngreenbe@gmail.com,515.124.4569,Delhi,Web developer,9/13/1999,No,17-Aug-02,12000
117,Sigal,Tobias,stobias@gmail.com,515.127.4564,Delhi,Accounting,9/22/2001,No,24-Jul-05,28000
115,Alexander,Khoo,akhoo@gmail.com,515.127.4562,Jammu,HR,9/20/2001,Yes,18-May-03,31000
111,Ismael,Sciarra,isciarra@gmail.com,515.124.4369,Kochi,Accounting,9/16/1998,No,30-Sep-05,77000
114,Den,Raphaely,drapheal@gmail.com,515.127.4561,Kochi,Design,9/19/1998,No,07-Dec-02,11000
136,Hazel,Philtanker,hphiltan@gmail.com,650.127.1634,Kochi,HR,10/11/1994,No,06-Feb-08,22000
116,Shelli,Baida,sbaida@gmail.com,515.127.4563,Kota,Accounting,9/21/2001,No,24-Dec-05,29000
137,Renske,Ladwig,rladwig@gmail.com,650.121.1234,Kota,Accounting,10/12/1994,Yes,14-Jul-03,36000
140,Joshua,Patel,jpatel@gmail.com,650.121.1834,Kota,Data Analyst,10/15/1994,No,06-Apr-06,25000
143,Jennifer,Whalen,jwhalen@gmail.com,515.123.4444,Kota,Web developer,3/3/1999,Yes,17-Sep-03,44000
144,Michael,Hartstein,mhartste@gmail.com,515.123.5555,Kota,Design,3/4/1999,Yes,17-Feb-04,13000
145,Pat,Fay,pfay@gmail.com,603.123.6666,Kota,HR,3/5/1996,Yes,17-Aug-05,60000
146,Susan,Mavris,smavris@gmail.com,515.123.7777,Kota,Accounting,9/1/1998,Yes,07-Jun-02,65000
147,Hermann,Baer,hbaer@gmail.com,515.123.8888,Kota,Data Analyst,9/2/1998,Yes,07-Jun-02,10000
112,Jose Manuel,Urman,jmurman@gmail.com,515.124.4469,Mumbai,Web developer,9/17/1998,Yes,07-Mar-06,78000
113,Luis,Popp,lpopp@gmail.com,515.124.4567,Mumbai,Design,9/18/1998,Yes,07-Dec-07,69000
118,Guy,Himuro,ghimuro@gmail.com,515.127.4565,Mumbai,Web developer,9/23/1998,Yes,15-Nov-06,26000
135,Ki,Gee,kgee@gmail.com,650.127.1734,Mumbai,Design,10/10/1998,No,12-Dec-07,24000
141,Donald,OConnell,doconnel@gmail.com,650.507.9833,Mumbai,Data Analyst,3/1/1997,Yes,21-Jun-07,26000
142,Douglas,Grant,dgrant@gmail.com,650.507.9844,Mumbai,Design,3/2/2000,No,13-Jan-08,26000
122,Payam,Kaufling,pkauflin@gmail.com,650.123.3234,Nagpur,HR,9/27/1998,Yes,01-May-03,79000
123,Shanta,Vollman,svollman@gmail.com,650.123.4234,Nagpur,Accounting,9/28/1998,No,10-Oct-05,65000
124,Kevin,Mourgos,kmourgos@gmail.com,650.123.5234,Nagpur,Data Analyst,9/2/2001,Yes,16-Nov-07,58000
125,Julia,Nayer,jnayer@gmail.com,650.124.1214,Nagpur,Design,9/2/2001,Yes,16-Jul-05,32000
138,Stephen,Stiles,sstiles@gmail.com,650.121.2034,Nagpur,HR,10/13/1994,No,26-Oct-05,32000
100,Steven,King,sking@gmail.com,515.123.4567,Pune,Design,9/5/1998,Yes,17-Jun-03,24000
101,Neena,Kochhar,nkochhar@gmail.com,515.123.4568,Pune,HR,9/6/1998,Yes,21-Sep-05,17000
102,Lex,De Haan,ldehaan@gmail.com,515.123.4569,Pune,Data Analyst,9/7/2000,No,13-Jan-01,17000
103,Alexander,Hunold,ahunold@gmail.com,590.423.4567,Pune,Design,9/8/2000,Yes,03-Jan-06,90000
